"","B14006_001","B14006_002","B14006_003","B14006_004","B14006_005","B14006_006","B14006_007","B14006_008","B14006_009","B14006_010","B14006_011","B14006_012","B14006_013","B14006_014","B14006_015","B14006_016","B14006_017","B14006_018","B14006_019","B14006_020","B14006_021","B16009_001","B16009_002","B16009_003","B16009_004","B16009_005","B16009_006","B16009_007","B16009_008","B16009_009","B16009_010","B16009_011","B16009_012","B16009_013","B16009_014","B16009_015","B16009_016","B16009_017","B16009_018","B16009_019","B16009_020","B16009_021","B16009_022","B16009_023","B16009_024","B16009_025","B16009_026","B16009_027","B19013_001","B19013A_001","B19013B_001","B19013C_001","B19013D_001","B19013E_001","B19013F_001","B19013G_001","B19013H_001","B19013I_001","B19019_001","B19019_002","B19019_003","B19019_004","B19019_005","B19019_006","B19019_007","B19019_008","B19049_001","B19049_002","B19049_003","B19049_004","B19049_005","B25099_001","B25099_002","B25099_003","B25119_001","B25119_002","B25119_003","B10010_001","B10010_002","B10010_003","B19113_001","B19113A_001","B19113B_001","B19113C_001","B19113D_001","B19113E_001","B19113F_001","B19113G_001","B19113H_001","B19113I_001","B19119_001","B19119_002","B19119_003","B19119_004","B19119_005","B19119_006","B19119_007","B19121_001","B19121_002","B19121_003","B19121_004","B19121_005","B19125_001","B19125_002","B19125_003","B19126_001","B19126_002","B19126_003","B19126_004","B19126_005","B19126_006","B19126_007","B19126_008","B19126_009","B19126_010","B19126_011","B19301_001","B19301A_001","B19301B_001","B19301C_001","B19301D_001","B19301E_001","B19301F_001","B19301G_001","B19301H_001","B19301I_001","B22003_001","B22003_002","B22003_003","B22003_004","B22003_005","B22003_006","B22003_007","B08137_001","B08137_002","B08137_003","B08137_004","B08137_005","B08137_006","B08137_007","B08137_008","B08137_009","B08137_010","B08137_011","B08137_012","B08137_013","B08137_014","B08137_015","B08137_016","B08137_017","B08137_018","B08137_019","B08137_020","B08137_021","B08537_001","B08537_002","B08537_003","B08537_004","B08537_005","B08537_006","B08537_007","B08537_008","B08537_009","B08537_010","B08537_011","B08537_012","B08537_013","B08537_014","B08537_015","B08537_016","B08537_017","B08537_018","B08537_019","B08537_020","B08537_021","B09001_001","B09001_002","B09001_003","B09001_004","B09001_005","B09001_006","B09001_007","B09001_008","B09001_009","B09001_010","B09008_001","B09008_002","B09008_003","B09008_004","B09008_005","B09008_006","B09008_007","B09008_008","B09008_009","B09008_010","B09008_011","B09008_012","B11001_001","B11001_002","B11001_003","B11001_004","B11001_005","B11001_006","B11001_007","B11001_008","B11001_009","B11017_001","B11017_002","B11017_003","B12007_001","B12007_002","B12007A_001","B12007A_002","B12007C_001","B12007C_002","B12007D_001","B12007D_002","B12007E_001","B12007E_002","B12007F_001","B12007F_002","B12007G_001","B12007G_002","B12007H_001","B12007H_002","B12007I_001","B12007I_002","B16010_001","B16010_002","B16010_003","B16010_004","B16010_005","B16010_006","B16010_007","B16010_008","B16010_009","B16010_010","B16010_011","B16010_012","B16010_013","B16010_014","B16010_015","B16010_016","B16010_017","B16010_018","B16010_019","B16010_020","B16010_021","B16010_022","B16010_023","B16010_024","B16010_025","B16010_026","B16010_027","B16010_028","B16010_029","B16010_030","B16010_031","B16010_032","B16010_033","B16010_034","B16010_035","B16010_036","B16010_037","B16010_038","B16010_039","B16010_040","B16010_041","B16010_042","B16010_043","B16010_044","B16010_045","B16010_046","B16010_047","B16010_048","B16010_049","B16010_050","B16010_051","B16010_052","B16010_053","B25081_001","B25081_002","B25081_003","B25081_004","B25081_005","B25081_006","B25081_007","B25081_008","B25082_001","B25082_002","B25082_003","B25102_001","B25102_002","B25102_003","B25102_004","B25102_005","B25102_006","B25102_007","B25102_008","B25102_009","B25102_010","B25102_011","B25102_012","B25102_013","B25102_014","B25102_015","B25103_001","B25103_002","B25103_003","B992522_001","B992522_002","B992522_003","B992522_004","B992522_005","B992522_006","B992522_007","B27015_001","B27015_002","B27015_003","B27015_004","B27015_005","B27015_006","B27015_007","B27015_008","B27015_009","B27015_010","B27015_011","B27015_012","B27015_013","B27015_014","B27015_015","B27015_016","B27015_017","B27015_018","B27015_019","B27015_020","B27015_021","B27015_022","B27015_023","B27015_024","B27015_025","B27015_026","C02003_001","C02003_002","C02003_003","C02003_004","C02003_005","C02003_006","C02003_007","C02003_008","C02003_009","C02003_010","C02003_011","C02003_012","C02003_013","C02003_014","C02003_015","C02003_016","C02003_017","C02003_018","C02003_019"
"Cumberland County Public Schools, Virginia",9578,1473,429,26,65,36,48,203,51,0,1044,8105,1736,77,47,356,416,416,392,32,6369,9318,1378,371,371,0,0,0,0,1007,995,0,12,0,0,7940,1211,1023,188,0,0,0,6729,6538,142,49,0,0,40557,48370,27625,NA,NA,NA,NA,NA,47500,NA,40557,22633,49717,58286,53398,61500,82167,NA,40557,6563,44458,49353,29567,44416,54356,32103,40557,44416,28704,29025,28939,NA,49351,53611,38348,NA,NA,NA,NA,NA,53393,NA,49351,47734,45357,52734,49853,52237,NA,49351,27541,41875,59940,95074,49351,48667,49770,49351,59688,54414,60115,30717,22411,29063,2499,32482,21452,38681,21540,25356,15490,NA,NA,NA,NA,NA,25318,25771,4049,758,332,426,3291,237,3054,4158,3120,1038,3102,2395,707,751,602,149,0,0,0,28,0,28,105,24,81,172,99,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198,2198,320,272,149,234,447,360,416,0,2152,224,224,224,0,0,1928,1928,1257,124,547,0,4049,2723,1920,803,230,573,1326,1139,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6767,1561,439,439,0,0,0,0,1122,1122,0,0,0,0,2653,1615,1604,11,0,0,0,1038,1018,0,20,0,0,1605,1193,1104,78,11,0,0,412,359,53,0,0,0,948,712,694,0,18,0,0,236,224,0,12,0,0,3134,2022,353,167,186,0,1669,1112,560919400,342602000,218317400,3134,2022,811,733,202,96,112,68,1112,377,511,52,80,15,77,997,982,1015,3134,2022,840,1182,1112,170,942,9899,2220,1775,657,1436,445,2873,2137,1382,1229,736,2057,1719,1691,291,338,1591,1500,1405,170,91,1158,1084,1084,197,74,9943,9745,6390,3343,12,0,0,0,198,0,198,198,166,8,0,24,0,0,0
"Danville City Public Schools, Virginia",39835,10392,3966,265,333,765,695,902,772,234,6426,29443,6033,315,323,989,1354,1262,1545,245,23410,38716,9764,2551,2306,195,11,39,0,7213,6797,266,87,63,0,28952,3885,3673,144,60,0,8,25067,24011,607,346,66,37,30786,37580,24624,15000,27039,NA,45625,15888,37631,40357,30786,18487,40579,42175,37208,43224,26389,47250,30786,12923,32648,37859,26792,42546,49670,34253,30786,42546,19399,32969,28221,27768,40768,49600,30518,NA,46731,NA,45375,16743,49877,38750,40768,40944,42013,31990,44630,38476,50000,40768,20500,30198,64608,68565,40768,30414,45026,40768,55833,63048,52273,25247,32056,31129,35469,23657,16028,33231,19626,25617,14570,26076,13104,NA,12261,4940,25953,12078,18659,4785,2820,1965,13874,1862,12012,16054,9651,6403,12674,8309,4365,2066,846,1220,393,61,332,349,95,254,130,27,103,442,313,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9278,9255,1556,1207,574,1491,1594,1360,1473,23,9255,585,563,459,104,22,8670,8613,3609,486,4518,57,18659,11086,6596,4490,825,3665,7573,6857,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29505,6531,2048,1796,225,19,0,8,4483,4339,119,7,18,0,8614,4583,4444,99,31,0,9,4031,3921,33,57,20,0,9287,6167,5950,151,47,19,0,3120,3008,35,62,15,0,5073,3873,3644,54,134,21,20,1200,1107,15,70,8,0,10156,5590,880,282,598,73,4637,4566,1153745100,679014900,474730200,10156,5590,3578,1161,176,207,318,150,4566,3241,866,169,95,127,68,599,638,557,10156,5590,2553,3037,4566,1617,2949,41417,14665,12043,4178,9941,2622,11988,9924,6695,5576,2064,7074,6415,5236,2265,659,3335,3050,2817,694,285,4355,4215,3745,870,140,42996,42355,20392,20845,42,481,10,585,641,39,602,613,396,126,15,2,74,28,0
"Dickenson County Public Schools, Virginia",14965,3006,871,34,108,183,217,166,162,1,2135,11959,2189,43,128,485,674,487,302,70,9770,14647,2894,690,675,15,0,0,0,2204,2166,0,0,6,32,11753,1699,1641,22,36,0,0,10054,9883,76,91,4,0,33318,33232,28750,NA,NA,NA,NA,39297,33200,NA,33318,15340,37314,40430,62174,62518,22058,82917,33318,15326,38971,36205,27719,38442,56186,33987,33318,38442,15800,39044,40192,21667,41314,41320,30000,NA,NA,NA,NA,NA,41365,NA,41314,37654,39173,62500,60156,23611,NA,41314,25880,41774,64347,100089,41314,42392,40554,41314,50127,62656,42791,21750,35163,22750,37337,18673,12393,33724,18215,18274,6964,NA,15230,NA,NA,16023,18287,9000,6352,1282,862,420,5070,544,4526,4920,4070,850,4113,3505,608,571,419,152,38,38,0,110,56,54,17,0,17,71,52,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3250,3250,538,318,173,528,654,493,546,0,3249,240,240,71,169,0,3009,3009,2162,199,648,0,6352,4526,3409,1117,329,788,1826,1651,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11321,3128,513,481,9,23,0,0,2615,2607,3,5,0,0,4017,1808,1800,4,0,4,0,2209,2196,7,0,6,0,2986,1578,1549,7,22,0,0,1408,1397,11,0,0,0,1190,853,850,0,3,0,0,337,318,16,3,0,0,4960,1723,103,37,66,21,1599,3237,491207400,171038100,320169300,4960,1723,1374,308,7,3,21,10,3237,2671,315,40,22,35,154,423,494,381,4960,1723,744,979,3237,809,2428,15501,4719,3773,953,3330,946,4524,4022,2483,2540,502,3186,2890,2540,787,296,1626,1511,1368,323,115,1446,1343,1244,266,103,15749,15626,15520,74,0,23,0,9,123,46,77,123,5,57,0,0,61,0,0
"Dinwiddie County Public Schools, Virginia",26646,3482,784,14,52,233,146,244,89,6,2698,23164,5234,177,281,1175,1059,1384,1011,147,17930,25900,3397,653,653,0,0,0,0,2744,2654,76,14,0,0,22503,3863,3780,83,0,0,0,18640,18145,381,78,36,0,52027,55369,46875,NA,69479,NA,NA,72609,55162,72554,52027,30919,53131,63696,66563,72121,67661,NA,52027,37986,54713,62195,37740,58335,67962,38656,52027,58335,40567,64583,63194,35795,58543,61973,50917,NA,69479,NA,NA,73370,61581,72554,58543,50625,63143,65000,72969,68226,NA,58543,31972,47310,80578,91944,58543,58731,58300,58543,71218,72961,69290,40038,42392,41901,43824,37754,31368,43682,23781,25861,20286,9357,19348,NA,23543,14243,26283,12952,9932,1421,553,868,8511,621,7890,11995,9230,2765,10429,8204,2225,875,494,381,13,13,0,76,43,33,105,47,58,497,429,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6131,6121,737,746,383,1038,1066,991,1160,10,6115,447,325,15,310,122,5668,5668,3597,276,1795,0,9932,7241,5224,2017,397,1620,2691,2304,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19325,3823,1242,1163,79,0,0,0,2581,2572,9,0,0,0,7829,5177,5088,89,0,0,0,2652,2577,50,25,0,0,5208,3513,3449,55,2,7,0,1695,1674,8,13,0,0,2465,1710,1623,62,13,12,0,755,697,0,41,17,0,7607,4658,844,260,584,0,3814,2949,1327855600,865479000,462376700,7607,4658,1112,1821,915,524,144,142,2949,1102,945,340,279,168,115,1138,1222,976,7607,4658,1254,3404,2949,871,2078,27024,4068,3033,1365,2233,1035,6260,5027,3811,2236,1233,7557,6706,5960,1326,851,4048,3780,3448,781,268,5091,4642,4373,739,449,27977,27551,18046,9160,58,135,0,152,426,147,279,426,157,54,63,0,152,0,0
"Emporia City Public Schools, Virginia",5338,1472,376,76,27,54,89,38,92,0,1096,3866,867,74,98,175,176,209,109,26,2999,5130,1360,188,188,0,0,0,0,1172,1170,2,0,0,0,3770,640,624,0,0,12,4,3130,2966,96,0,49,19,32155,46467,23819,NA,51576,NA,NA,NA,46467,NA,32155,11000,34333,41904,52337,40855,NA,NA,32155,22882,34214,40890,19474,45781,59295,32198,32155,45781,24028,16818,8860,9118,41429,77583,32461,NA,NA,NA,NA,NA,77583,NA,41429,33833,41654,54408,40395,NA,NA,41429,18413,32616,71250,78167,41429,33000,47419,41429,70469,62386,70521,24513,24852,22772,41518,23958,22917,33750,19710,31699,13349,NA,44638,NA,19436,NA,31699,19436,2488,842,487,355,1646,344,1302,2149,1065,1084,1541,925,616,317,78,239,0,0,0,152,36,116,66,7,59,73,19,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1260,1260,210,208,109,152,141,231,209,0,1260,188,174,144,30,14,1072,1072,488,46,538,0,2488,1496,743,753,183,570,992,888,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3962,1134,327,284,43,0,0,0,807,807,0,0,0,0,1224,801,779,22,0,0,0,423,421,2,0,0,0,970,625,610,8,0,0,7,345,345,0,0,0,0,634,545,491,0,0,47,7,89,87,0,0,2,0,1132,633,87,74,13,7,539,499,141005500,89838500,51167000,1132,633,275,195,75,31,43,14,499,317,124,52,0,0,6,768,921,599,1132,633,153,480,499,107,392,5547,1904,1527,462,1368,377,1547,1273,869,555,274,878,723,632,253,155,553,414,414,66,139,665,612,547,107,53,5773,5726,1897,3666,12,63,0,88,47,0,47,29,20,0,1,8,0,18,0
"Essex County Public Schools, Virginia",10726,1132,240,17,16,51,86,27,43,0,892,9594,2003,102,48,379,572,519,361,22,7591,10457,1115,191,191,0,0,0,0,924,902,22,0,0,0,9342,1534,1448,41,0,0,45,7808,7608,111,52,0,37,44885,49556,36200,53472,NA,NA,NA,53529,46913,51667,44885,21607,52450,54179,59375,60417,54875,112692,44885,47250,54542,51201,30033,51927,67364,33891,44885,51927,32212,32578,33900,33850,53946,58257,47367,53472,NA,NA,NA,52941,59309,48824,53946,53304,53643,61250,39722,51875,112692,53946,37115,41131,64063,82279,53946,52072,55000,53946,63949,80962,60625,31627,33939,34470,31771,27414,26036,32847,21532,24762,17671,11850,NA,16591,NA,8474,24843,22331,4286,514,217,297,3772,390,3382,5023,3931,1092,3960,3019,941,501,423,78,6,6,0,139,87,52,172,172,0,245,224,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2352,2352,339,269,87,280,472,456,449,0,2352,183,183,37,146,0,2169,2169,1595,248,326,0,4286,2735,2131,604,178,426,1551,1277,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7704,1792,854,822,25,0,0,7,938,930,0,0,0,8,2875,1900,1834,54,12,0,0,975,975,0,0,0,0,1908,1273,1273,0,0,0,0,635,623,3,9,0,0,1129,683,666,0,17,0,0,446,432,0,14,0,0,3265,1769,333,181,152,8,1428,1496,606688500,348092000,258596500,3265,1769,575,769,179,147,64,35,1496,541,470,189,124,64,108,965,963,969,3265,1769,563,1206,1496,331,1165,10994,1763,1362,613,1175,401,2802,2444,1717,1194,358,2845,2270,1896,632,575,1748,1689,1606,208,59,1836,1755,1696,313,81,11180,10854,6557,4158,80,14,35,10,326,10,316,326,172,7,106,31,10,0,0
"Fairfax City Public Schools, Virginia",21563,1595,801,40,0,39,92,139,417,74,794,19968,5197,332,178,994,833,1168,1153,539,14771,21006,1542,283,254,16,13,0,0,1259,896,46,66,188,63,19464,3033,1988,469,160,335,81,16431,11083,2269,1191,1596,292,97242,105774,88278,68173,95968,NA,79601,76875,108364,78191,97242,53945,106270,97355,114091,134114,163583,171210,97242,34063,104324,114792,83808,123878,140543,75357,97242,123878,58191,112917,73625,11500,113538,130582,90855,68173,96971,NA,65826,69405,133423,69250,113538,105205,107917,121293,135268,101771,184000,113538,75855,92742,132649,132885,113538,120873,110023,113538,129491,131928,121213,68802,63782,65119,63654,88523,57198,91543,44345,51198,31281,19384,31920,14254,24899,14856,54308,27818,8492,299,158,141,8193,323,7870,12158,7981,4177,8404,5865,2539,1233,707,526,1343,622,721,439,290,149,81,44,37,658,453,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4844,4843,895,582,130,829,680,833,894,1,4835,308,283,158,125,25,4527,4486,3856,98,532,41,8492,5768,4645,1123,336,787,2724,1829,895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16017,1288,761,192,363,53,127,26,527,297,53,38,119,20,2572,1566,817,479,74,133,63,1006,820,38,14,100,34,3849,2793,1861,552,98,282,0,1056,887,68,64,37,0,8308,6449,4794,337,682,548,88,1859,1436,61,128,196,38,5812,4288,1200,427,773,82,3006,1524,2787180800,2109032000,678148800,5812,4288,127,196,256,415,3280,14,1524,42,96,53,97,1185,51,3941,3946,3929,5812,4288,1186,3102,1524,480,1044,22401,1654,1227,801,655,427,2641,2088,1679,955,553,2975,2435,2329,477,540,2582,2373,2219,634,209,12549,11612,11313,1428,937,23027,22101,16228,1154,120,3429,46,1124,926,157,769,888,189,53,457,0,189,38,0
"Fairfax County Public Schools, Virginia",1047611,60352,22779,1229,1329,4722,3329,5291,5509,1370,37573,987259,272207,20283,13619,52554,54801,56894,49736,24320,715052,1018252,58014,13649,5252,4126,1334,1522,1415,44365,17919,12290,4658,6040,3458,960238,176679,119758,23778,11616,15890,5637,783559,494490,97086,67847,96076,28060,110292,122126,79283,56850,105249,111103,60751,83987,127934,73087,110292,69119,123699,130725,140446,127590,115850,110179,110292,56759,104992,134023,84992,135256,142839,98743,110292,135256,70994,98750,82813,74135,128596,146914,84900,51382,111044,127222,54395,87067,155051,67700,128596,121299,131702,140339,128008,116938,110750,128596,72755,100859,151023,154329,128596,123841,133110,128596,144820,141220,148320,67488,83416,75379,86027,63582,50499,76811,50532,59784,36198,28036,40020,53256,19792,23872,65454,24865,389908,14702,5385,9317,375206,14429,360777,588666,409551,179115,426118,305792,120326,57595,38003,19592,55370,32394,22976,10506,4173,6333,8213,4842,3371,30864,24347,6517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265972,265877,44814,29585,15742,44774,43451,43104,44407,95,265832,7766,7387,3586,3801,379,258066,257538,215969,8693,32876,528,389908,277250,226627,50623,15096,35527,112658,88693,23965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,748384,61337,40180,6642,23635,2372,5838,1693,21157,7525,4931,2565,4912,1224,100124,68056,31870,17752,4913,8723,4798,32068,20674,3429,2484,4571,910,148046,110497,68131,15577,7498,13484,5807,37549,26534,2553,3119,3924,1419,438877,351111,244425,21268,33770,41885,9763,87766,62381,3766,8448,10630,2541,269167,219645,57669,12533,45136,2558,159418,49522,141954544400,115592485700,26362058700,269167,219645,5337,9350,8431,26234,166774,3519,49522,1906,1864,1257,4040,38285,2170,4689,4634,4925,269167,219645,64885,154760,49522,12838,36684,1081778,58607,42558,24458,26962,16049,109596,78795,58923,33532,30801,130224,101781,89405,26420,28443,130917,110642,103999,19511,20275,652434,618274,602899,68367,34160,1101071,1055523,698963,101532,4437,196634,853,53104,45548,7706,37842,41746,7447,3806,18698,1201,10594,3736,66
"Falls Church City Public Schools, Virginia",12213,463,240,0,0,0,41,44,124,31,223,11750,3488,289,236,571,720,685,547,440,8262,11877,463,85,42,0,0,43,0,378,200,65,37,76,0,11414,2267,1882,137,194,54,0,9147,6977,815,798,482,75,120000,133851,76859,NA,52552,NA,110781,66607,136424,86771,120000,72452,117432,146250,195329,223977,205714,195625,120000,42250,114125,148664,72031,160453,174540,111250,120000,160453,73321,231563,NA,NA,152857,174743,42935,NA,76250,NA,160341,24688,177386,67208,152857,116087,159318,189010,250001,189063,163125,152857,56771,112917,185033,215781,152857,150096,154345,152857,179063,185272,173487,65385,49853,49632,NA,65808,65021,69115,59088,65147,44268,NA,46449,NA,36940,21870,67560,24461,5020,78,6,72,4942,193,4749,7171,4815,2356,4580,3218,1362,512,325,187,1283,676,607,204,130,74,142,73,69,450,393,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3205,3199,512,336,149,477,593,550,582,6,3199,112,112,71,41,0,3087,3087,2590,106,391,0,5020,3092,2504,588,104,484,1928,1615,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8592,230,95,29,40,26,0,0,135,16,7,28,84,0,915,599,413,165,9,12,0,316,236,5,50,25,0,1055,748,611,43,25,45,24,307,204,56,24,23,0,6392,5376,4158,358,476,333,51,1016,838,23,122,33,0,2981,2467,766,52,714,33,1668,514,2185829600,1843866000,341963600,2981,2467,23,30,44,174,2196,0,514,17,0,7,25,465,0,6808,6751,7048,2981,2467,775,1692,514,110,404,12634,663,639,439,267,24,1159,1030,836,271,129,1180,1117,1067,213,63,901,846,830,104,55,8731,8520,8460,594,211,12731,12066,9804,678,0,1102,0,482,665,34,631,665,1,314,295,0,55,0,0
"Fauquier County Public Schools, Virginia",63489,3368,862,41,143,105,210,155,151,57,2506,60121,16740,1034,874,3831,3209,4032,3119,641,43381,61817,3297,611,381,166,58,6,0,2686,2404,185,76,9,12,58520,11798,10525,848,320,43,62,46722,43208,2389,697,355,73,88409,92346,52572,NA,145208,NA,55750,47250,94345,46926,88409,45126,91462,100491,117233,110417,112619,114311,88409,62813,93696,105289,60059,103139,113571,69163,88409,103139,46663,110481,104643,88750,103556,105868,74957,NA,148527,NA,91607,69615,108455,46547,103556,90391,103333,118049,111250,113155,113310,103556,61117,72654,116243,145060,103556,104215,102972,103556,113975,116065,111053,49534,69671,49236,78686,44375,31461,48053,39600,41665,26638,NA,37122,NA,29786,14286,43274,19936,23130,1232,417,815,21898,845,21053,32856,27218,5638,26246,21869,4377,3136,2693,443,402,336,66,597,343,254,334,259,75,2141,1718,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16300,16300,2053,1744,964,2819,2985,2723,3012,0,16300,1052,992,498,494,60,15248,15248,12947,571,1730,0,23130,17205,14361,2844,898,1946,5925,4750,1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44780,3845,1802,1319,461,17,0,5,2043,1857,142,15,7,22,12351,8295,7680,491,52,64,8,4056,3918,73,28,25,12,13695,10221,9550,417,226,6,22,3474,3313,94,42,25,0,14889,11028,10234,375,248,162,9,3861,3666,58,55,75,7,18530,13883,4045,947,3098,117,9721,4647,7743038600,5684933000,2058105700,18530,13883,783,1258,1584,3370,6633,255,4647,593,270,380,1114,2088,202,2930,2946,2879,18530,13883,4430,9453,4647,1284,3363,65439,4406,3012,1628,2055,1394,8625,6540,4906,3266,2085,9183,8216,7625,2109,967,9641,8957,8169,1736,684,33584,32031,30698,3689,1553,66015,64189,57759,5088,34,879,19,410,1826,85,1741,1810,910,378,351,46,125,14,2
"Floyd County Public Schools, Virginia",14940,1896,413,0,4,116,159,98,36,0,1483,13044,2499,168,116,700,476,800,211,28,10545,14484,1876,422,422,0,0,0,0,1454,1417,3,34,0,0,12608,2021,1990,9,22,0,0,10587,10184,249,65,89,0,44618,45827,14583,NA,NA,NA,NA,11790,45383,53750,44618,18995,44298,52854,72813,55625,28611,52292,44618,85431,51042,47215,27124,46535,51671,38448,44618,46535,40667,41875,23158,NA,50969,51414,16375,NA,NA,NA,NA,NA,51531,37344,50969,43451,54009,73018,55666,35114,85045,50969,26625,38381,59943,84777,50969,54045,47734,50969,54935,56714,50750,35346,48750,41250,50956,27321,17383,37188,21816,22285,7787,3961,32890,NA,NA,7072,22198,23308,6086,780,328,452,5306,545,4761,6973,5408,1565,5185,4041,1144,885,658,227,21,9,12,148,131,17,171,154,17,563,415,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3252,3252,353,456,172,688,429,562,592,0,3252,31,31,12,19,0,3221,3221,2931,61,229,0,6086,4126,3583,543,104,439,1960,1600,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11148,2072,763,573,190,0,0,0,1309,1251,13,0,45,0,4087,2648,2624,24,0,0,0,1439,1437,0,2,0,0,3204,2222,2178,0,0,44,0,982,916,14,52,0,0,1785,1422,1387,8,27,0,0,363,363,0,0,0,0,4720,2475,466,118,348,4,2005,2245,767757800,417160900,350596900,4720,2475,1321,766,168,92,50,78,2245,1012,673,236,141,41,142,785,765,825,4720,2475,1006,1469,2245,678,1567,15289,2918,2217,978,1879,701,4419,3557,2500,1636,862,3839,3530,3306,652,309,2094,1927,1643,464,167,2019,1656,1551,186,363,15371,15112,14691,222,75,124,0,0,259,65,194,259,63,90,0,0,106,0,0
"Fluvanna County Public Schools, Virginia",23539,1622,499,14,0,41,122,228,94,0,1123,21917,5254,369,364,1432,818,1154,761,356,16663,23124,1601,324,312,0,0,12,0,1277,1200,17,60,0,0,21523,3982,3912,49,21,0,0,17541,16866,322,237,116,0,68288,72766,40551,NA,113125,NA,NA,54828,72790,32045,68288,33180,69694,93259,85778,101364,131466,99034,68288,53992,75184,77931,47763,74186,82544,48285,68288,74186,44886,75760,49514,60833,79101,82095,47875,NA,113125,NA,NA,53355,82347,140156,79101,67413,93884,89861,100479,101875,141382,79101,43824,66807,93866,126462,79101,85833,76689,79101,83951,98824,77060,51993,53750,26250,66875,51622,37604,69821,30881,33720,18848,10016,47625,NA,3765,12497,33633,30357,9462,440,222,218,9022,450,8572,11713,10018,1695,9045,7661,1384,1538,1351,187,14,14,0,14,6,8,18,18,0,1084,968,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5778,5778,1057,415,462,1076,917,864,987,0,5778,482,450,145,305,32,5296,5296,4404,130,762,0,9462,6937,5710,1227,273,954,2525,2147,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18372,2663,768,745,23,0,0,0,1895,1855,16,24,0,0,5177,3187,3132,8,5,42,0,1990,1942,36,12,0,0,5239,3616,3489,47,54,26,0,1623,1573,36,4,4,6,5293,3604,3330,200,62,12,0,1689,1609,0,80,0,0,8094,5842,1493,363,1130,24,4325,2252,2073233900,1425829100,647404800,8094,5842,768,2653,1158,861,402,0,2252,510,763,434,360,148,37,1365,1366,1363,8094,5842,1918,3924,2252,573,1679,24542,2392,1959,872,1393,433,4357,3561,2616,1771,796,4184,3844,3602,873,340,4932,4686,4455,1032,246,8677,8236,7980,1201,441,25860,25234,20984,3916,49,178,0,107,626,52,574,553,289,86,23,15,140,73,0
